date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,265.0,267.58,260.16,267.0,3572043,258.887898430706,261.408391932408,254.159530776349,260.841769362258,3572043,0.0,1.0
2021-01-05,270.93,273.5,262.57,263.88,4207081,264.681125742759,267.191849889804,256.513945248869,257.793730709036,4207081,0.0,1.0
2021-01-06,285.55,288.38,273.1,276.29,6383530,278.963922252407,281.728649620554,266.801075703493,269.917499839319,6383530,0.0,1.0
2021-01-07,291.65,295.8894,286.68,287.77,4009730,284.923228593643,289.064848807254,280.067859328735,281.132718986431,4009730,0.0,1.0
2021-01-08,290.08,292.28,285.06,292.0,2800784,283.389439912374,285.538697937082,278.485223874177,285.265156006664,2800784,0.0,1.0
2021-01-11,293.83,295.0,284.2,286.8,2650134,287.052947909035,288.195962403993,277.64505937361,280.185091584628,2650134,0.0,1.0
2021-01-12,302.21,303.98,296.02,297.14,4785415,295.23966711224,296.968842886664,289.192436579085,290.286604300754,4785415,0.0,1.0
2021-01-13,302.94,303.72,299.1,300.08,2413821,295.952830002256,296.714839665562,292.201397813676,293.158794570136,2413821,0.0,1.0
2021-01-14,307.87,309.41,303.54,304.05,3192169,300.769121848533,302.273602465829,296.538991281722,297.037228369268,3192169,0.0,1.0
2021-01-15,301.01,304.86,296.88,301.19,3863723,294.067344553308,297.828546096547,290.032601079652,294.243192937148,3863723,0.0,1.0
2021-01-19,294.2,306.6,293.8031,305.0,6727794,287.414414031372,299.528413806997,287.026668345005,297.965317061756,6727794,0.0,1.0
2021-01-20,290.47,297.45,287.48,295.82,4792644,283.770444744027,290.589454295145,280.849407701356,288.99704948593,4792644,0.0,1.0
2021-01-21,289.37,292.74,288.53,290.45,2517753,282.695815731673,285.988088251339,281.875189940421,283.750906034711,2517753,0.0,1.0
2021-01-22,289.39,290.59,285.5,286.69,2568757,282.715354440988,283.88767699992,278.915075479119,280.077628683392,2568757,0.0,1.0
2021-01-25,283.04,286.35,277.5,285.53,4575007,276.511814233309,279.745470625028,271.099591752909,278.944383543092,4575007,0.0,1.0
2021-01-26,281.76,285.77,280.08,283.93,3296846,275.261336837115,279.178848054878,273.620085254611,277.38128679785,3296846,0.0,1.0
2021-01-27,273.33,277.37,271.3201,276.0,3891838,267.025770860622,270.972590142358,265.062228267958,269.634188554244,3891838,0.0,1.0
2021-01-28,275.02,279.83,271.33,274.61,3778696,268.676791797784,273.375851388167,265.071899929069,268.276248256815,3778696,0.0,1.0
2021-01-29,271.17,277.4,270.62,274.27,3411974,264.915590254545,271.001898206331,264.378275748368,267.944090198451,3411974,0.0,1.0
2021-02-01,274.73,276.8,272.0,272.66,2324088,268.393480512708,270.415736926865,265.726446691139,266.371224098552,2324088,0.0,1.0
2021-02-02,286.97,288.25,278.0,278.32,5129178,280.35117061381,281.601648010003,271.588059485797,271.900678834845,5129178,0.0,1.0
2021-02-03,288.55,289.81,285.1801,286.61,2712770,281.894728649736,283.125667336614,278.602553823617,279.99947384613,2712770,0.0,1.0
2021-02-04,293.75,295.83,289.525,290.0,2994699,286.974793071773,289.006818840587,282.847240728868,283.311285075112,2994699,0.0,1.0
2021-02-05,293.5,297.24,292.1901,295.0,2938134,286.730559205329,290.384297847332,285.450871438708,288.195962403993,2938134,0.0,1.0
2021-02-08,300.15,300.89,294.5,295.0,2826173,293.227180052741,293.950112297415,287.707494671105,288.195962403993,2826173,0.0,1.0
2021-02-09,300.46,302.45,297.7,299.6,2061005,293.530030047131,295.474131624026,290.833688161589,292.689865546564,2061005,0.0,1.0
2021-02-10,304.28,305.18,297.75,300.0,3090946,297.261923526397,298.141165445595,290.882534934878,293.080639732874,3090946,0.0,1.0
2021-02-11,302.32,305.01,299.1718,303.98,2159868,295.347130013475,297.975086416413,292.271541780118,296.968842886664,2159868,0.0,1.0
2021-02-12,306.32,306.7,301.77,301.99,1977298,299.25487187658,299.626107353575,294.809815507298,295.024741309769,1977298,0.0,1.0
2021-02-16,311.96,312.92,309.2233,310.0,2792198,304.764787903558,305.702645950703,302.091208614368,302.849994390637,2792198,0.0,1.0
2021-02-17,312.74,314.98,308.7613,310.03,2308032,305.526797566864,307.715133010202,301.63986442918,302.87930245461,2308032,0.0,1.0
2021-02-18,309.9,314.5,307.5841,309.22,2095144,302.752300844059,307.24620398663,300.489815998868,302.087984727331,2095144,0.0,1.0
2021-02-19,315.62,316.78,310.23,310.23,2749542,308.340371708299,309.4736168486,303.074689547765,303.074689547765,2749542,0.0,1.0
2021-02-22,316.87,320.56,312.21,313.0,3067592,309.56154104052,313.166432909234,305.009021770002,305.780800787965,3067592,0.0,1.0
2021-02-23,319.21,320.0,310.58,317.98,2942528,311.847570030436,312.619349048399,303.416616960787,310.645939407531,2942528,0.0,1.0
2021-02-24,330.64,330.97,320.095,320.17,3934425,323.013942404258,323.336331107965,312.712157917648,312.785428077581,3934425,0.0,1.0
2021-02-25,327.76,335.8131,326.29,333.325,4243779,320.200368262823,328.067727262266,318.764273128132,325.637014129868,4243779,0.0,1.0
2021-02-26,319.48,328.68,319.04,325.77,3426158,312.111342606196,321.099148891337,311.681491001254,318.256266685928,3426158,0.0,1.0
2021-03-01,329.92,331.04,323.31,325.0,2959050,323.53171820112,324.630031502482,317.049708449333,318.706984770138,2959050,1.25,1.0
2021-03-02,330.94,336.19,329.51,330.0,2850325,324.53196781486,329.680311414993,323.129657081871,323.610169151217,2850325,0.0,1.0
2021-03-03,334.43,340.1,333.25,333.68,3606299,327.954390512853,333.514601600997,326.797238998918,327.218912855691,3606299,0.0,1.0
2021-03-04,329.29,339.76,323.92,333.13,3647614,322.913916969104,333.181185063083,317.647896943825,326.679562573773,3647614,0.0,1.0
2021-03-05,327.37,335.58,316.465,335.58,3740398,321.03109416677,329.082122920501,310.337249031636,329.082122920501,3740398,0.0,1.0
2021-03-08,334.19,337.59,329.1,331.36,2997991,327.719037662561,331.053203041695,322.727595962623,324.943835302871,2997991,0.0,1.0
2021-03-09,330.59,336.39,325.57,328.62,3324825,324.188744908184,329.876438790236,319.265947789581,322.256890262039,3324825,0.0,1.0
2021-03-10,342.02,342.4,331.53,332.07,3153109,335.397424403331,335.770066416293,325.110543571827,325.640087484984,3153109,0.0,1.0
2021-03-11,342.1,345.0,336.46,338.66,2756559,335.475875353428,338.319722294454,329.945083371571,332.102484499246,2756559,0.0,1.0
2021-03-12,348.81,350.0,343.64,345.22,2436744,342.055948792836,343.222906675533,336.986056142801,338.535462407222,2436744,0.0,1.0
2021-03-15,346.05,352.42,342.0,349.44,2277831,339.349391014481,345.596047915976,335.377811665807,342.673750024852,2277831,0.0,1.0
2021-03-16,341.71,346.9,337.75,345.28,2332558,335.093426971704,340.182932359264,331.21010494189,338.594300619795,2332558,0.0,1.0
2021-03-17,344.95,347.03,340.4001,344.62,2710906,338.270690450643,340.310415153172,333.808890727549,337.947080281492,2710906,0.0,1.0
2021-03-18,348.0,356.85,346.99,350.75,3715240,341.261632923102,349.940269277612,340.271189678124,343.958384332695,3715240,0.0,1.0
2021-03-19,344.2,347.24,340.63,346.42,3512961,337.535212793482,340.516348897178,334.034339145391,339.712226658681,3512961,0.0,1.0
2021-03-22,339.33,342.88,336.0,341.06,2094548,332.759511206311,336.240772116877,329.493990408512,334.456013002164,2094548,0.0,1.0
2021-03-23,331.77,341.8885,331.33,337.62,2457544,325.345896422119,335.268470654109,324.914416196584,331.082622147982,2457544,0.0,1.0
2021-03-24,328.65,336.94,328.44,333.42,3332168,322.286309368326,330.415789072155,322.08037562432,326.963947267875,3332168,0.0,1.0
2021-03-25,330.55,331.39,321.92,327.35,2804721,324.149519433136,324.973254409157,315.686623191393,321.011481429245,2804721,0.0,1.0
2021-03-26,327.39,335.45,322.69,334.51,3082556,321.050706904294,328.954640126593,316.44171358608,328.03284146295,3082556,0.0,1.0
2021-03-29,325.73,327.76,317.72,320.35,4533245,319.422849689776,321.413542548494,311.567948311287,314.147023295735,4533245,0.0,1.0
2021-03-30,332.01,335.75,328.85,329.41,2717270,325.581249272411,329.248831189458,322.482436743569,323.03159339425,2717270,0.0,1.0
2021-03-31,327.0,332.65,325.44,330.23,2624540,320.66825852257,326.208856873189,319.138464995673,323.835715632747,2624540,0.0,1.0
2021-04-01,327.64,329.66,324.16,324.3,2658951,321.295866123348,323.276752613304,317.883249794117,318.020538956787,2658951,0.0,1.0
2021-04-05,323.54,332.85,323.05,332.85,3234998,317.275254930863,326.404984248432,316.794742861517,326.404984248432,3234998,0.0,1.0
2021-04-06,327.06,328.54,324.0,324.49,1801975,320.727096735143,322.178439311942,317.726347893922,318.206859963268,1801975,0.0,1.0
2021-04-07,326.55,329.2,323.35,327.7,2157335,320.226971928273,322.825659650244,317.088933924382,321.354704335921,2157335,0.0,1.0
2021-04-08,331.14,331.49,322.9652,324.29,2402755,324.728095190103,325.071318096779,316.711584854414,318.010732588025,2402755,0.0,1.0
2021-04-09,330.81,334.9,328.79,334.0,2347149,324.404485020952,328.415289844675,322.423598530996,327.53271665608,2347149,0.0,1.0
2021-04-12,331.84,334.48,329.94,332.67,2318780,325.414541003454,328.003422356664,323.551330938644,326.228469610713,2318780,0.0,1.0
2021-04-13,327.68,330.05,324.18,329.51,3575907,321.335091598396,323.659200995028,317.902862531641,323.129657081871,3575907,0.0,1.0
2021-04-14,335.35,344.4694,326.15,328.55,9876753,328.856576438972,337.799396367934,319.834717177786,322.188245680704,9876753,0.0,1.0
2021-04-15,338.55,341.35,334.54,338.9,4354775,331.994614442862,334.740397696267,328.062260569237,332.337837349538,4354775,0.0,1.0
2021-04-16,342.31,343.74,338.62,340.29,4231858,335.681809097434,337.084119830422,332.063259024197,333.700922607478,4231858,0.0,1.0
2021-04-19,343.09,344.43,336.6,340.0,3228160,336.446705860882,337.760759275011,330.082372534241,333.416537913375,3228160,0.0,1.0
2021-04-20,331.88,340.47,329.35,339.97,3662274,325.453766478503,333.877437245197,322.972755181677,333.387118807089,3662274,0.0,1.0
2021-04-21,335.27,335.47,327.56,330.0,2733251,328.778125488874,328.974252864118,321.217415173251,323.610169151217,2733251,0.0,1.0
2021-04-22,330.85,336.97,330.29,334.62,2165200,324.443710496001,330.445208178441,323.89455384532,328.140711519334,2165200,0.0,1.0
2021-04-23,339.35,340.67,330.72,331.25,2165370,332.779123943835,334.07356462044,324.316227702093,324.835965246487,2165370,0.0,1.0
2021-04-26,343.52,345.9,340.89,341.94,2171458,336.868379717655,339.202295483048,334.289304733207,335.318973453234,2171458,0.0,1.0
2021-04-27,346.63,347.55,343.66,344.0,2088604,339.918160402686,340.820346328805,337.005668880325,337.339085418238,2088604,0.0,1.0
2021-04-28,348.11,350.12,346.09,348.0,2140875,341.369502979485,343.340583100679,339.388616489529,341.261632923102,2140875,0.0,1.0
2021-04-29,352.97,353.83,347.48,350.55,2584423,346.135398197894,346.97874591144,340.751701747469,343.762256957452,2584423,0.0,1.0
2021-04-30,348.45,352.8197,347.2,351.12,2101069,341.702919517399,345.988008475399,340.477123422129,344.321219976895,2101069,0.0,1.0
2021-05-03,350.16,354.0599,349.26,350.34,1871653,343.379808575728,347.204194329282,342.497235387134,343.556323213447,1871653,0.0,1.0
2021-05-04,349.84,351.78,342.57,348.9,2831390,343.066004775339,344.968440315197,335.93677468525,342.144206111696,2831390,0.0,1.0
2021-05-05,357.62,359.14,348.55,352.0,2786800,350.695359672298,352.185927724146,341.80098320502,345.184180427965,2786800,0.0,1.0
2021-05-06,365.97,366.3,356.5001,359.77,3048665,358.8836775887,359.207287757851,349.597144434624,352.803728956162,3048665,0.0,1.0
2021-05-07,370.89,371.65,360.93,362.3,3378112,363.708411019682,364.453695045606,353.941267732572,355.284740252988,3378112,0.0,1.0
2021-05-10,368.68,376.98,368.5,373.5,3396306,361.541203523245,369.680489595836,361.364688885526,366.267873266605,3396306,0.0,1.0
2021-05-11,359.92,368.63,358.62,363.0,3734339,352.950824487594,361.492171679434,351.675996548514,355.971186066339,3734339,0.0,1.0
2021-05-12,354.4,368.13,353.2712,363.07,3309798,347.537708930883,361.001853241326,346.43076602501,356.039830647674,3309798,0.0,1.0
2021-05-13,358.81,360.885,353.25,353.25,2674804,351.862317554995,353.897139073142,346.409976523235,346.409976523235,2674804,0.0,1.0
2021-05-14,368.77,369.51,361.7,362.0,2732312,361.629460842104,362.355132130504,354.696358127258,354.990549190123,2732312,0.0,1.0
2021-05-17,369.25,370.7,364.5,367.78,1826125,362.100166542688,363.522090013201,357.442141380663,360.65863033465,1826125,0.0,1.0
2021-05-18,364.56,373.08,364.0,371.38,2018638,357.500979593236,365.856005778594,356.951822942555,364.188923089027,2018638,0.0,1.0
2021-05-19,358.38,360.0,353.9319,360.0,3695975,351.440643698222,353.029275437691,347.078672809126,353.029275437691,3695975,0.0,1.0
2021-05-20,359.78,361.95,353.35,358.98,1919583,352.813535324924,354.941517346312,346.508040210856,352.029025823951,1919583,0.0,1.0
2021-05-21,366.26,367.14,360.51,361.49,2657548,359.168062282802,360.031022733872,353.529400244561,354.490424383253,2657548,0.0,1.0
2021-05-24,368.29,369.72,365.51,367.32,1818182,361.15875514152,362.561065874509,358.432584625641,360.207537371591,1818182,0.0,1.0
2021-05-25,364.51,373.7696,364.09,369.912,2630979,357.451947749425,366.532252968433,357.040080261414,362.749348154743,2630979,0.0,1.0
2021-05-26,367.4,368.79,361.91,365.0,2121254,360.285988321688,361.649073579628,354.902291871264,357.93245981877,2121254,0.0,1.0
2021-05-27,371.37,373.5487,367.3,371.33,3897048,364.179116720265,366.315630282477,360.187924634067,364.139891245217,3897048,0.0,1.0
2021-05-28,372.02,373.07,368.26,372.0,2170561,366.042326785075,367.075455227429,362.3427430296,366.022648148078,2170561,1.25,1.0
2021-06-01,382.44,383.36,376.31,377.7,3644004,376.294896660621,377.200113962492,370.263394420976,371.631059692282,3644004,0.0,1.0
2021-06-02,383.44,384.665,379.37,383.33,2809704,377.278828510481,378.48414502656,373.274225881549,377.170596006997,2809704,0.0,1.0
2021-06-03,388.72,391.25,380.1349,382.25,3003860,382.473988677744,384.963336257891,374.026835353508,376.107949609147,3003860,0.0,1.0
2021-06-04,391.45,392.05,386.32,389.68,2514077,385.160122627863,385.75048173778,380.112552238079,383.41856325361,2514077,0.0,1.0
2021-06-07,388.16,393.2603,387.55,393.0,2188724,381.922986841823,386.941334455666,381.322788413408,386.685216995147,2188724,0.0,1.0
2021-06-08,384.7,386.4799,382.22,385.79,2452596,378.518582641305,380.269882940872,376.078431653652,379.591068357653,2452596,0.0,1.0
2021-06-09,382.78,384.27,378.88,383.16,2026166,376.629433489573,378.095491945865,372.792099275118,377.00332759252,2026166,0.0,1.0
2021-06-10,373.94,389.64,372.345,389.64,3900798,367.931475936807,383.379205979616,366.36210463628,383.379205979616,3900798,0.0,1.0
2021-06-11,378.05,378.75,375.11,375.7,2117305,371.975435839734,372.664188134636,369.082676201144,369.663195992562,2117305,0.0,1.0
2021-06-14,372.92,378.75,370.7,377.43,2560497,366.92786544995,372.664188134636,364.743536743259,371.36539809282,2560497,0.0,1.0
2021-06-15,371.3,374.84,367.16,373.5,2302905,365.333895853176,368.817014601682,361.260417994754,367.498545922869,2302905,0.0,1.0
2021-06-16,371.0,374.0788,365.25,370.99,3248704,365.038716298218,368.068045677568,359.38110816152,365.028876979719,3248704,0.0,1.0
2021-06-17,361.5,373.52,356.55,373.52,4146348,355.691363724544,367.518224559866,350.820901067734,367.518224559866,4146348,0.0,1.0
2021-06-18,348.83,358.38,348.125,356.52,6290084,343.224947186812,352.621496352979,342.53127523266,350.791383112239,6290084,0.0,1.0
2021-06-21,357.54,357.97,351.04,352.89,2717264,351.794993599096,352.218084294536,345.399436575004,347.219710497245,2717264,0.0,1.0
2021-06-22,357.53,359.88,352.64,357.0,1870813,351.785154280598,354.09739412777,346.97372753478,351.263670400172,1870813,0.0,1.0
2021-06-23,361.05,362.48,357.66,358.79,1713116,355.248594392106,356.655616937407,351.91306542108,353.024908411422,1713116,0.0,1.0
2021-06-24,368.75,370.88,362.78,363.0,2716625,362.824869636032,364.920644476234,356.950796492365,357.167261499334,2716625,0.0,1.0
2021-06-25,368.77,371.1499,364.54,368.82,2782436,362.844548273029,365.186207682512,358.682516548119,362.893744865522,2782436,0.0,1.0
2021-06-28,368.71,368.87,363.86,367.8,1833383,362.785512362037,362.942941458015,358.013442890214,361.890134378664,1833383,0.0,1.0
2021-06-29,372.62,378.09,370.7495,374.86,2365932,366.632685894991,372.014793113728,364.792241369828,368.836693238679,2365932,0.0,1.0
2021-06-30,379.53,380.11,370.9,370.9,2238381,373.431654977527,374.002335450446,364.940323113232,364.940323113232,2238381,0.0,1.0
2021-07-01,374.99,381.64,374.145,380.7,2571040,368.964604379161,375.507751180732,368.133181966029,374.582855241864,2571040,0.0,1.0
